words,class
NEW,1
REPLACED,1
ARRIVED ,1
RECEIVED ,1
INSTALLED,1
was repaired,1
was replaced,1
BACK IN SERVICE,1
WAS RESET,1
READY TO USE,1
READY FOR USE,1
DEISOLATED,1
has been arrived,1
changed on,1
is being closed ,1
is replaced,1
is closed,1
is changed,1
was replaced,1
was installed,1
was closed,1
is installed,1
is fixed,1
was fixed,1
is up,1
parts arrived,1
working,1
completed,1
is good,1
is running,1
has been replaced,1
has arrived,1
have arrived,1
have been replaced,1
have been repaired,1
has been repaired,1
have been installed,1
has been installed,1
has been completed,1
have been completed,1
job closed,1
job completed,1
module installed,1
parts received,1
parts recieved,1
parts replaced,1
parts requested,1
is changed,1
is done,1
is fitted,1
is returned,1
is working,1
is reseted,1
not replaced,0
not short,0
CONFIRMED,0
SMALL DISCREPENCY ,0
GOOD TEST,0
CHECKED,0
CERTIFIED,0
TESTED,0
CLEANED,0
NO MAJOR,0
FOUND FIT,0
REINSTALLED,0
GOOD CONDITION,0
SET CORRECTLY,0
LOOKS GREAT,0
GREAT JOB,0
ARE WORKING,0
NO ABNORMALITIES,0
NO PROBLEM,0
NO DIRT,0
NO DEBRIS,0
NO CUTS,0
NO KINKS,0
NO DAMAGE,0
NO CORROSION,0
NO NOISE,0
NOT DAMAGED,0
ALL OK,0
completed cleaning,0
examine piston,0
inspected,0
is fine,0
is good,0
no wear found,0
greased,0
to be tested,0
have been tested,0
in good condition,0
in good operating,0
in good order,0
is checked,0
no erosion,0
stable supply,0
is ok,0
to be ordered,2
to be fitted,2
QTY REQUESTED,2
Parts Requested,2
out of service,2
QTY ISSUED,2
REPAIR,2
REQUIRE,2
UNUSUAL,2
NOT IN GOOD SHAPE,2
ordered,2
have been ordered,2
have to be repaired,2
have to be replaced,2
STOPPED,2
WORK IN PROGRESS,2
was CONTAMINATED,2
TRIGGERED,2
ISOLATED,2
will be installed,2
found to be having,2
 will be opened ,2
 this valve washed out ,2
 no spare available,2
 found leak ,2
will be changed,2
will be fixed,2
has to be fixed,2
is down,2
abnormal corrosion,2
broken,2
found corroded,2
damaged,2
excesive corrosion,2
excessive corrosion,2
excessive damage,2
excessive scuffing,2
found corrosion,2
is froze,2
found leaks,2
is leaking,2
requested qty,2
severe corrosion,2
significant corrosion,2
wear damage,2
worn,2
defeciencies found,2
deficiencies found,2
descrepencies found,2
deteroriation found,2
discrepencies found,2
issuses found,2
job created,2
job opened,2
failed,2
to be changed,2
to be issued,2
have been changed,2
have been issued,2
to be performed,2
to be removed,2
to be replaced,2
have been removed,2
to be sent,2
is damaged,2
is shut,2
is stuck,2
abnormilities found,2
eroded,2
corroded,2
found corroded,2
